Sector,Company,Output,MSE,R2
TEXTILE SPINNING,TATM,Output_4,0.038056,-0.609713
COMMERCIAL BANKS,ABL,Output_1,0.006806,0.725841
COMMERCIAL BANKS,ABL,Output_2,0.007899,0.691247
COMMERCIAL BANKS,ABL,Output_3,0.010604,0.630031
COMMERCIAL BANKS,ABL,Output_4,0.043605,0.364348
COMMERCIAL BANKS,AKBL,Output_1,0.00525,0.525359
COMMERCIAL BANKS,AKBL,Output_2,0.00571,0.495637
COMMERCIAL BANKS,AKBL,Output_3,0.007907,0.36972
COMMERCIAL BANKS,AKBL,Output_4,0.033605,0.273733
COMMERCIAL BANKS,BAFL,Output_1,0.00296,0.914203
COMMERCIAL BANKS,BAFL,Output_2,0.003417,0.903362
COMMERCIAL BANKS,BAFL,Output_3,0.004495,0.885767
COMMERCIAL BANKS,BAFL,Output_4,0.016127,0.798359
COMMERCIAL BANKS,BAHL,Output_1,0.006598,0.748955
COMMERCIAL BANKS,BAHL,Output_2,0.007432,0.723226
COMMERCIAL BANKS,BAHL,Output_3,0.009292,0.681845
COMMERCIAL BANKS,BAHL,Output_4,0.021995,0.682052
COMMERCIAL BANKS,BIPL,Output_1,0.008716,0.855462
COMMERCIAL BANKS,BIPL,Output_2,0.00948,0.843125
COMMERCIAL BANKS,BIPL,Output_3,0.012276,0.799865
COMMERCIAL BANKS,BIPL,Output_4,0.027021,0.613084
COMMERCIAL BANKS,BML,Output_1,0.008698,0.259627
COMMERCIAL BANKS,BML,Output_2,0.009299,0.203353
COMMERCIAL BANKS,BML,Output_3,0.012244,-0.06183
COMMERCIAL BANKS,BML,Output_4,0.0386,-0.285025
COMMERCIAL BANKS,BOK,Output_1,0.012578,0.692248
COMMERCIAL BANKS,BOK,Output_2,0.014276,0.651996
COMMERCIAL BANKS,BOK,Output_3,0.020817,0.495042
COMMERCIAL BANKS,BOK,Output_4,0.02229,0.264937
COMMERCIAL BANKS,BOP,Output_1,0.012441,0.617306
COMMERCIAL BANKS,BOP,Output_2,0.013207,0.58983
COMMERCIAL BANKS,BOP,Output_3,0.017157,0.445523
COMMERCIAL BANKS,BOP,Output_4,0.056823,-0.273317
COMMERCIAL BANKS,FABL,Output_1,0.004778,0.88469
COMMERCIAL BANKS,FABL,Output_2,0.005074,0.8804
COMMERCIAL BANKS,FABL,Output_3,0.007079,0.844203
COMMERCIAL BANKS,FABL,Output_4,0.021571,0.640162
COMMERCIAL BANKS,HBL,Output_1,0.013667,0.601342
COMMERCIAL BANKS,HBL,Output_2,0.01472,0.571256
COMMERCIAL BANKS,HBL,Output_3,0.019611,0.42924
COMMERCIAL BANKS,HBL,Output_4,0.057841,-0.126773
COMMERCIAL BANKS,HMB,Output_1,0.003324,0.867187
COMMERCIAL BANKS,HMB,Output_2,0.00356,0.860968
COMMERCIAL BANKS,HMB,Output_3,0.005047,0.821252
COMMERCIAL BANKS,HMB,Output_4,0.021748,0.672586
COMMERCIAL BANKS,JSBL,Output_1,0.007195,0.875326
COMMERCIAL BANKS,JSBL,Output_2,0.007854,0.864578
COMMERCIAL BANKS,JSBL,Output_3,0.010748,0.820774
COMMERCIAL BANKS,JSBL,Output_4,0.034149,0.540675
COMMERCIAL BANKS,MCB,Output_1,0.005148,0.861675
COMMERCIAL BANKS,MCB,Output_2,0.00577,0.849279
COMMERCIAL BANKS,MCB,Output_3,0.008256,0.804608
COMMERCIAL BANKS,MCB,Output_4,0.040808,0.508927
COMMERCIAL BANKS,MEBL,Output_1,0.00534,0.868236
COMMERCIAL BANKS,MEBL,Output_2,0.005673,0.861749
COMMERCIAL BANKS,MEBL,Output_3,0.007585,0.824437
COMMERCIAL BANKS,MEBL,Output_4,0.028681,0.520498
COMMERCIAL BANKS,NBP,Output_1,0.004519,0.739749
COMMERCIAL BANKS,NBP,Output_2,0.004665,0.742373
