symbol,period,date_predicted,predicted_price,percent_change,absolute_difference,last_price
WAVESAPP,1 week,2025-August-01,13.22,42.01,3.91,9.31
WAVESAPP,1 month,2025-August-24,15.43,65.75,6.12,9.31
WAVESAPP,6 months,2026-January-21,13.84,48.68,4.53,9.31
BFAGRO,1 day,2025-July-26,226.95,454.89,186.05,40.9
BFAGRO,1 week,2025-August-01,23.12,-43.47,-17.78,40.9
BFAGRO,1 month,2025-August-24,-1041.46,-2646.35,-1082.36,40.9
BFAGRO,6 months,2026-January-21,-1058.96,-2689.15,-1099.86,40.9
GGL,1 day,2025-July-26,16.91,-13.35,-2.61,19.52
GGL,1 week,2025-August-01,17.57,-10.01,-1.95,19.52
GGL,1 month,2025-August-24,17.12,-12.28,-2.4,19.52
GGL,6 months,2026-January-21,22.49,15.19,2.97,19.52
FNEL,1 day,2025-July-26,4.75,20.59,0.81,3.94
FNEL,1 week,2025-August-01,2.64,-32.9,-1.3,3.94
FNEL,1 month,2025-August-24,4.28,8.53,0.34,3.94
FNEL,6 months,2026-January-21,4.78,21.26,0.84,3.94
SYM,1 day,2025-July-26,11.67,-18.62,-2.67,14.34
SYM,1 week,2025-August-01,12.81,-10.68,-1.53,14.34
SYM,1 month,2025-August-24,11.93,-16.83,-2.41,14.34
SYM,6 months,2026-January-21,18.49,28.91,4.15,14.34
UBL,1 day,2025-July-26,442.11,19.69,72.74,369.37
UBL,1 week,2025-August-01,471.13,27.55,101.76,369.37
UBL,1 month,2025-August-24,461.57,24.96,92.2,369.37
UBL,6 months,2026-January-21,575.12,55.7,205.75,369.37
STPL,1 day,2025-July-26,5.3,-26.76,-1.94,7.24
STPL,1 week,2025-August-01,6.56,-9.36,-0.68,7.24
STPL,1 month,2025-August-24,5.72,-20.96,-1.52,7.24
STPL,6 months,2026-January-21,6.26,-13.51,-0.98,7.24
AVN,1 day,2025-July-26,47.27,-4.7,-2.33,49.6
AVN,1 week,2025-August-01,58.2,17.33,8.6,49.6
AVN,1 month,2025-August-24,50.52,1.85,0.92,49.6
AVN,6 months,2026-January-21,59.19,19.34,9.59,49.6
FCSC,1 day,2025-July-26,2.17,-24.9,-0.72,2.89
FCSC,1 week,2025-August-01,2.32,-19.68,-0.57,2.89
FCSC,1 month,2025-August-24,2.29,-20.88,-0.6,2.89
FCSC,6 months,2026-January-21,2.51,-13.17,-0.38,2.89
ICIBL,1 day,2025-July-26,6.38,-40.89,-4.41,10.79
ICIBL,1 week,2025-August-01,5.86,-45.7,-4.93,10.79
ICIBL,1 month,2025-August-24,6.0,-44.35,-4.79,10.79
ICIBL,6 months,2026-January-21,7.91,-26.7,-2.88,10.79
BBFL,1 day,2025-July-26,57.01,17.86,8.64,48.37
BBFL,1 week,2025-August-01,62.96,30.17,14.59,48.37
BBFL,1 month,2025-August-24,101.31,109.44,52.94,48.37
BBFL,6 months,2026-January-21,63.29,30.84,14.92,48.37
DSL,1 day,2025-July-26,8.25,-8.47,-0.76,9.01
DSL,1 week,2025-August-01,8.3,-7.83,-0.71,9.01
DSL,1 month,2025-August-24,8.78,-2.57,-0.23,9.01
DSL,6 months,2026-January-21,9.44,4.81,0.43,9.01
DFSM,1 day,2025-July-26,4.73,-24.15,-1.5,6.23
DFSM,1 week,2025-August-01,5.04,-19.09,-1.19,6.23
DFSM,1 month,2025-August-24,5.01,-19.57,-1.22,6.23
DFSM,6 months,2026-January-21,5.95,-4.45,-0.28,6.23
AGHA,1 day,2025-July-26,4.86,-45.9,-4.12,8.98
AGHA,1 week,2025-August-01,8.3,-7.58,-0.68,8.98
AGHA,1 month,2025-August-24,5.81,-35.27,-3.17,8.98
AGHA,6 months,2026-January-21,8.78,-2.24,-0.2,8.98
GHGL,1 day,2025-July-26,39.09,-7.51,-3.17,42.26
GHGL,1 week,2025-August-01,38.62,-8.62,-3.64,42.26
GHGL,1 month,2025-August-24,39.14,-7.38,-3.12,42.26
GHGL,6 months,2026-January-21,45.98,8.81,3.72,42.26
SLGL,1 day,2025-July-26,15.88,-1.36,-0.22,16.1
SLGL,1 week,2025-August-01,16.88,4.82,0.78,16.1
SLGL,1 month,2025-August-24,17.96,11.57,1.86,16.1
SLGL,6 months,2026-January-21,23.9,48.45,7.8,16.1
SNGP,1 day,2025-July-26,119.32,2.48,2.89,116.43
SNGP,1 week,2025-August-01,125.52,7.8,9.09,116.43
SNGP,1 month,2025-August-24,122.02,4.8,5.59,116.43
SNGP,6 months,2026-January-21,158.24,35.91,41.81,116.43
DWSM,1 day,2025-July-26,7.5,-0.03,-0.0,7.5
DWSM,1 week,2025-August-01,6.92,-7.67,-0.58,7.5
DWSM,1 month,2025-August-24,7.22,-3.73,-0.28,7.5
DWSM,6 months,2026-January-21,8.15,8.67,0.65,7.5
LOADS,1 day,2025-July-26,14.99,3.19,0.46,14.53
LOADS,1 week,2025-August-01,17.75,22.14,3.22,14.53
LOADS,1 month,2025-August-24,16.78,15.49,2.25,14.53
LOADS,6 months,2026-January-21,20.59,41.68,6.06,14.53
ALTN,1 day,2025-July-26,15.62,36.62,4.19,11.43
ALTN,1 week,2025-August-01,11.41,-0.18,-0.02,11.43
ALTN,1 month,2025-August-24,14.29,24.98,2.86,11.43
ALTN,6 months,2026-January-21,7.65,-33.1,-3.78,11.43
YOUW,1 day,2025-July-26,4.81,-1.01,-0.05,4.86
YOUW,1 week,2025-August-01,4.47,-7.99,-0.39,4.86
YOUW,1 month,2025-August-24,5.9,21.4,1.04,4.86
YOUW,6 months,2026-January-21,5.36,10.22,0.5,4.86
HWQS,1 day,2025-July-26,21.67,-25.29,-7.34,29.01
HWQS,1 week,2025-August-01,18.74,-35.41,-10.27,29.01
HWQS,1 month,2025-August-24,19.35,-33.31,-9.66,29.01
HWQS,6 months,2026-January-21,25.98,-10.46,-3.03,29.01
HICL,1 day,2025-July-26,12.0,-30.58,-5.29,17.29
HICL,1 week,2025-August-01,10.96,-36.62,-6.33,17.29
HICL,1 month,2025-August-24,11.37,-34.23,-5.92,17.29
HICL,6 months,2026-January-21,12.49,-27.79,-4.8,17.29
ANL,1 day,2025-July-26,9.08,-22.19,-2.59,11.67
ANL,1 week,2025-August-01,9.99,-14.39,-1.68,11.67
ANL,1 month,2025-August-24,9.19,-21.28,-2.48,11.67
ANL,6 months,2026-January-21,10.24,-12.29,-1.43,11.67
DHPL,1 day,2025-July-26,43.08,4.12,1.7,41.38
DHPL,1 week,2025-August-01,29.96,-27.6,-11.42,41.38
DHPL,1 month,2025-August-24,5.36,-87.04,-36.02,41.38
DHPL,6 months,2026-January-21,48.74,17.77,7.36,41.38
CSAP,1 day,2025-July-26,115.81,3.1,3.48,112.33
CSAP,1 week,2025-August-01,121.48,8.15,9.15,112.33
CSAP,1 month,2025-August-24,129.95,15.69,17.62,112.33
CSAP,6 months,2026-January-21,149.99,33.53,37.66,112.33
BAPL,1 day,2025-July-26,40.43,-8.41,-3.71,44.14
BAPL,1 week,2025-August-01,39.81,-9.8,-4.33,44.14
BAPL,1 month,2025-August-24,45.99,4.18,1.85,44.14
BAPL,6 months,2026-January-21,44.29,0.33,0.15,44.14
BIPL,1 day,2025-July-26,26.18,-22.33,-7.53,33.71
BIPL,1 week,2025-August-01,26.04,-22.74,-7.67,33.71
BIPL,1 month,2025-August-24,25.09,-25.57,-8.62,33.71
BIPL,6 months,2026-January-21,30.82,-8.56,-2.89,33.71
PSO,1 day,2025-July-26,422.22,11.35,43.04,379.18
PSO,1 week,2025-August-01,429.26,13.21,50.08,379.18
PSO,1 month,2025-August-24,438.58,15.67,59.4,379.18
PSO,6 months,2026-January-21,584.34,54.11,205.16,379.18
ASTM,1 day,2025-July-26,16.9,-22.77,-4.98,21.88
ASTM,1 week,2025-August-01,16.57,-24.28,-5.31,21.88
ASTM,1 month,2025-August-24,17.13,-21.71,-4.75,21.88
ASTM,6 months,2026-January-21,18.46,-15.63,-3.42,21.88
NRSL,1 day,2025-July-26,40.54,7.12,2.69,37.85
NRSL,1 week,2025-August-01,37.04,-2.14,-0.81,37.85
NRSL,1 month,2025-August-24,44.58,17.78,6.73,37.85
